,keyword,Searchvolume,cpc,cmp
535,online furniture deals,30,0.236123,1.0
536,furniture best price,30,0.19395,1.0
537,furniture near my location,30,0.39141,0.7142857142857143
538,farnichar store near me,30,0.077947,0.7255639097744361
539,buy living room furniture online,30,0.081191,0.5876010781671159
540,sofa discount sale,30,0.469245,0.9523809523809523
541,best home furniture online,30,0.18996,1.0
542,sofa shops in hyderabad,30,0.280938,1.0
543,sofa furniture stores near me,30,0.250494,1.0
544,reasonable price furniture,30,0.06683,0.972972972972973
545,furniture shopping websites,30,0.077776,0.9621848739495799
546,best house furniture,30,0.056578,1.0
547,cheap home furniture online,30,0.160119,0.9835164835164835
548,best online site to buy furniture,30,0.198943,1.0
549,for furniture,30,0.008843,0.5197568389057751
550,home furniture set price,30,0.08415,1.0
551,decor furniture online,30,0.057911,1.0
552,anu furniture vanasthalipuram,30,0.113844,0.5097402597402598
553,bed furniture shop,30,0.028165,1.0
554,order furniture,30,0.307846,1.0
555,wooden diwan online,30,0.082822,1.0
556,low cost sofa set online,30,0.080383,1.0
557,best price furniture online,30,0.301345,0.9845559845559846
558,best offer furniture,30,0.119821,1.0
559,sofa exchange near me,30,0.26887,1.0
560,reasonable furniture online,30,0.132858,1.0
561,big furniture shop near me,30,0.213272,1.0
562,diwan bed online shopping,30,0.019153,1.0
563,old furniture online shopping,30,0.028091,1.0
564,home furniture showroom,30,0.17346,0.759581881533101
565,local furniture shop,30,0.104004,1.0
566,furniture bazaar online shopping,30,,0.8991596638655461
567,wooden furniture sale,30,0.093982,1.0
568,exchange offer sofa,30,0.074182,1.0
569,in furniture,30,0.010694,0.8616071428571429
570,buy sofa set online at low price,20,0.129489,1.0
571,any furniture shop near me,20,0.191808,1.0
572,furniture top,20,0.033948,0.9663865546218489
573,at home furniture hyderabad,20,0.243186,0.9495798319327731
574,any furniture,20,0.005038,0.9447004608294931
575,bed exchange offer online,20,0.153292,1.0
576,household furniture for sale,20,0.064165,1.0
577,best cheapest furniture,20,0.100553,1.0
